Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
Los Angeles Lakers,29.2,67,15,64,18,8.55,-0.14,8.41,107.3,98.2,93.3,.346,.153,.525,.484,12.7,30.6,.241,.443,13.4,73.1,.222,STAPLES Center,771420,
Portland Trail Blazers,29.6,59,23,59,23,6.40,-0.04,6.36,107.9,100.8,89.9,.316,.175,.546,.501,14.5,30.3,.240,.461,13.8,72.4,.217,Rose Garden Arena,835078,
San Antonio Spurs,30.9,53,29,58,24,5.94,-0.02,5.92,105.0,98.6,90.8,.346,.138,.535,.488,14.3,27.8,.258,.451,13.5,73.0,.188,Alamodome,884450,
Phoenix Suns,28.6,53,29,56,26,5.22,0.02,5.24,104.6,99.0,94.0,.286,.184,.532,.491,15.2,29.3,.217,.454,15.7,70.5,.245,America West Arena,773115,
Utah Jazz,31.5,55,27,54,28,4.46,0.05,4.52,107.3,102.3,89.6,.337,.134,.540,.490,14.3,29.5,.260,.477,15.0,73.2,.256,Delta Center,801268,
Indiana Pacers,30.4,56,26,54,28,4.60,-0.45,4.15,108.5,103.6,93.1,.302,.224,.552,.503,13.3,24.9,.245,.469,12.6,71.5,.197,Conseco Fieldhouse,752145,
Sacramento Kings,27.5,44,38,49,33,2.91,0.12,3.04,105.0,102.1,99.3,.277,.227,.526,.486,13.9,27.7,.209,.479,15.1,69.7,.198,ARCO Arena (II),720033,
Miami Heat,29.2,52,30,50,32,3.11,-0.36,2.75,104.5,101.0,89.7,.283,.186,.533,.495,14.5,28.2,.208,.453,13.3,72.9,.229,AmericanAirlines Arena,706725,
Minnesota Timberwolves,26.6,50,32,48,34,2.52,0.14,2.67,106.1,103.4,91.8,.256,.104,.525,.485,12.9,29.4,.200,.474,14.0,73.0,.250,Target Center,690012,
Charlotte Hornets,28.7,49,33,49,33,2.67,-0.34,2.33,104.3,101.4,93.9,.376,.153,.530,.475,13.7,25.7,.285,.478,14.6,73.2,.198,Charlotte Coliseum,732827,
New York Knicks,29.5,50,32,46,36,1.46,-0.16,1.30,102.5,100.9,89.2,.283,.147,.527,.482,14.4,24.7,.221,.455,13.6,73.1,.251,Madison Square Garden (IV),810103,
Seattle SuperSonics,28.5,45,37,44,38,0.95,0.22,1.17,105.6,104.6,93.4,.282,.232,.520,.487,12.9,28.5,.196,.483,14.0,69.6,.193,KeyArena at Seattle Center,615730,
Detroit Pistons,28.3,42,40,45,37,1.44,-0.31,1.13,107.3,105.8,95.7,.378,.184,.548,.492,14.3,26.8,.295,.499,15.4,71.6,.249,The Palace of Auburn Hills,678470,
Philadelphia 76ers,27.1,49,33,45,37,1.34,-0.32,1.02,101.5,100.0,92.7,.329,.095,.501,.457,14.2,31.4,.233,.466,16.2,69.9,.229,First Union Center,756956,
Orlando Magic,26.3,41,41,43,39,0.68,-0.26,0.43,102.4,101.7,97.3,.305,.124,.516,.473,15.4,31.6,.224,.476,15.9,69.9,.226,TD Waterhouse Centre,576409,
Milwaukee Bucks,28.2,42,40,42,40,0.22,-0.28,-0.06,108.2,107.9,92.7,.290,.157,.539,.494,13.8,30.0,.228,.496,14.6,69.6,.254,Bradley Center,628605,
Dallas Mavericks,26.3,40,42,39,43,-0.57,0.29,-0.29,106.6,107.2,94.9,.248,.188,.532,.490,12.6,25.5,.200,.488,14.2,66.1,.210,Reunion Arena,606177,
Toronto Raptors,29.3,45,37,41,41,-0.16,-0.30,-0.46,104.7,104.9,92.5,.300,.170,.511,.464,12.7,30.1,.230,.480,14.2,71.8,.247,Air Canada Centre,756496,
Houston Rockets,26.3,34,48,39,43,-0.87,0.30,-0.57,104.8,105.7,94.2,.322,.244,.536,.494,15.8,29.1,.236,.481,12.5,71.6,.201,Compaq Center,624594,
Boston Celtics,25.4,35,47,39,43,-0.76,-0.24,-1.00,104.8,105.6,94.6,.316,.183,.520,.474,13.8,30.4,.236,.498,15.8,73.8,.306,FleetCenter,683608,
New Jersey Nets,27.3,31,51,38,44,-1.04,-0.15,-1.18,105.1,106.3,92.5,.297,.200,.517,.468,12.6,28.1,.233,.491,15.2,67.2,.223,Continental Airlines Arena,643631,
Denver Nuggets,25.9,35,47,35,47,-2.12,0.36,-1.76,103.5,105.8,94.7,.306,.202,.517,.476,14.0,29.2,.222,.479,13.0,71.6,.235,Pepsi Center,637698,
Washington Wizards,28.0,29,53,32,50,-3.28,-0.19,-3.47,103.5,107.0,92.7,.315,.133,.521,.476,14.8,30.6,.234,.489,13.9,71.7,.273,MCI Center,616593,
Cleveland Cavaliers,27.2,32,50,31,51,-3.50,-0.14,-3.64,100.4,104.0,95.7,.327,.136,.516,.468,15.6,28.1,.245,.474,15.1,71.2,.275,Gund Arena,603702,
Vancouver Grizzlies,25.3,22,60,25,57,-5.62,0.52,-5.10,102.3,108.5,91.0,.320,.139,.524,.474,15.8,30.1,.247,.502,14.1,70.6,.231,General Motors Place,569864,
Atlanta Hawks,27.6,28,54,26,56,-5.38,-0.04,-5.41,102.0,107.9,91.7,.292,.120,.503,.460,14.1,31.7,.217,.481,11.3,71.0,.196,Philips Arena,600954,
Golden State Warriors,26.9,19,63,20,62,-8.27,0.64,-7.63,99.8,108.4,95.4,.301,.150,.484,.444,13.9,32.6,.210,.499,14.6,69.1,.259,The Arena in Oakland,509171,
Chicago Bulls,26.0,17,65,15,67,-9.40,0.17,-9.23,94.2,104.6,89.4,.338,.167,.490,.443,18.0,29.9,.240,.484,14.5,69.9,.240,United Center,907064,
Los Angeles Clippers,24.2,15,67,13,69,-11.52,0.80,-10.73,97.8,110.1,93.9,.270,.188,.499,.458,14.9,26.1,.202,.507,13.1,69.6,.220,STAPLES Center,559714,
